owners,command,time,level,thread,logger,method,message,exception
00000000,00000000,14-12-04 09:35:42.09,Debug,111,VCenterSessionsManager,GetUserName,UserName=Administrator,
00000000,00000000,14-12-04 09:35:42.09,Trace,111,VisualQueryCache,GetCacheDataOrWaitIfNecessary,called,
